Country,Population,Land Area (Km²),Density (P/Km²),"Food prices, 2017 ",Global rank 
Maldives,"540,544",300,"1,802",91.287,100
Mali,"20,250,833","1,220,190",17,73.166,144
Malta,"441,543",320,"1,380",124.766,39
Mauritania,"4,649,658","1,030,700",5,81.623,123
Mauritius,"1,271,768","2,030",626,109.309,65
Mexico,"128,932,753","1,943,950",66,88.741,108
Moldova,"4,033,963","32,850",123,67.133,155
Mongolia,"3,278,290","1,553,560",2,69.832,149
Montenegro,"628,066","13,450",47,88.123,110
Montserrat,4992,102,50,184.936,5
Morocco,"36,910,560","446,300",83,88.869,107
Mozambique,"31,255,435","786,380",40,77.653,134
Namibia,"2,540,905","823,290",3,98.393,82
Nepal,"29,136,808","143,350",203,64.251,160
Netherlands,"17,134,872","33,720",508,115.836,56
New Zealand,"4,822,233","263,310",18,163.691,12
Nicaragua,"6,624,554","120,340",55,78.581,132
Niger,"24,206,644","1,266,700",19,96.792,87
Nigeria,"206,139,589","910,770",226,84.436,119
North Macedonia,"2,083,374","25,220",83,70.633,146
Norway,"5,421,241","365,268",15,187.477,4
Oman,"5,106,626","309,500",16,97.292,84
Pakistan,"220,892,340","770,880",287,70.188,148
Panama,"4,314,767","74,340",58,111.213,61
Paraguay,"7,132,538","397,300",18,83.414,120
Peru,"32,971,854","1,280,000",26,100.45,78
Philippines,"109,581,078","298,170",368,79.097,129
Poland,"37,846,611","306,230",124,76.523,136
Portugal,"10,196,709","91,590",111,111.797,59
Qatar,"2,881,053","11,610",248,116.248,53
Congo (Congo-Brazzaville),"5,518,087","341,500",16,119.386,50
Romania,"19,237,691","230,170",84,73.693,141
Russia,"145,934,462","16,376,870",9,78.411,133
Rwanda,"12,952,218","24,670",525,62.541,161
Saint Kitts and Nevis,"53,199",260,205,111.526,60
Saint Lucia,"183,627",610,301,139.764,25
Saudi Arabia,"34,813,871","2,149,690",16,99.678,79
Senegal,"16,743,927","192,530",87,91.552,98
Serbia,"8,737,371","87,460",100,86.232,114
Seychelles,"98,347",460,214,120.276,46
Sierra Leone,"7,976,983","72,180",111,68.911,151
Singapore,"5,850,342",700,"8,358",127.302,36
Slovakia,"5,459,642","48,088",114,103.567,73
Slovenia,"2,078,938","20,140",103,109.768,63
South Africa,"59,308,690","1,213,090",49,92.413,97
South Korea,"51,269,185","97,230",527,202.794,1
Spain,"46,754,778","498,800",94,109.705,64
Sri Lanka,"21,413,249","62,710",341,85.113,116
Saint Vincent and the Grenadines,"110,940",390,284,139.633,26
Sudan,"43,849,260","1,765,048",25,67.426,153
Suriname,"586,632","156,000",4,93.652,92
swazilan,1160000,"17,364",67,92.865,96
Sweden,"10,099,265","410,340",25,142.433,22
Switzerland,"8,654,622","39,516",219,197.397,2
taiwan,23570000,"36,197",673,124.157,40
Tajikistan,"9,537,645","139,960",68,73.549,142
Tanzania,"59,734,218","885,800",67,66.19,158
Thailand,"69,799,978","510,890",137,79.409,127
Togo,"8,278,724","54,390",152,105.906,70
Trinidad and Tobago,"1,399,488","5,130",273,134.92,30
Tunisia,"11,818,619","155,360",76,61.571,162
Turkey,"84,339,067","769,630",110,96.185,88
United Arab Emirates,"9,890,402","83,600",118,128.869,34
Uganda,"45,741,007","199,810",229,70.729,145
United Kingdom,"67,886,011","241,930",281,106.357,69
Ukraine,"43,733,762","579,320",75,55.473,165
Uruguay,"3,473,730","175,020",20,145.595,19
United States of America,"331,002,651","9,147,420",36,123.827,41
Vietnam,"97,338,579","310,070",314,73.294,143
Zambia,"18,383,955","743,390",25,86.645,112
Zimbabwe,"14,862,924","386,850",38,101.714,76
